Date,Description,Amount,Type,Category,Notes
2026-06-01,Monthly Rent,15000,expense,Rent,Flat rent payment
2026-06-02,HDFC Salary Credit,75000,income,Salary,Monthly corporate salary
2026-06-03,Groceries at DMart,4200,expense,Groceries,Weekly grocery stock
2026-06-04,Zomato Dinner Order,1250,expense,Food,Dinner with friends
2026-06-06,Electricity Bill,2800,expense,Utilities,June power bill
2026-06-08,Freelance Web Design,18000,income,Freelance,Landing page project payment
2026-06-10,Petrol Refuel Shell,2200,expense,Transport,Car full tank
2026-06-12,Netflix Subscription,649,expense,Subscriptions,Monthly premium plan
2026-06-14,Gym Membership,1500,expense,Fitness,Monthly gym fee
2026-06-15,BookMyShow Movie tickets,850,expense,Entertainment,Weekend movie tickets
